ccp,n_estimators,cross validation,OOB
0.0,30.0,0.725,0.727
0.006929468644195241,30.0,0.7559999999999999,0.753
0.013858937288390482,30.0,0.753,0.746
0.020788405932585723,30.0,0.748,0.748
0.027717874576780963,30.0,0.747,0.746
0.03464734322097621,30.0,0.7449999999999999,0.746
0.04157681186517145,30.0,0.746,0.746
0.04850628050936669,30.0,0.746,0.746
0.055435749153561927,30.0,0.747,0.746
0.062365217797757166,30.0,0.747,0.746
0.0,31.0,0.7290000000000001,0.724
0.006929468644195241,31.0,0.7539999999999999,0.752
0.013858937288390482,31.0,0.7509999999999999,0.746
0.020788405932585723,31.0,0.748,0.746
0.027717874576780963,31.0,0.7449999999999999,0.746
0.03464734322097621,31.0,0.746,0.745
0.04157681186517145,31.0,0.7449999999999999,0.745
0.04850628050936669,31.0,0.746,0.745
0.055435749153561927,31.0,0.746,0.745
0.062365217797757166,31.0,0.746,0.745
0.0,32.0,0.7270000000000001,0.728
0.006929468644195241,32.0,0.7519999999999999,0.751
0.013858937288390482,32.0,0.7509999999999999,0.746
0.020788405932585723,32.0,0.747,0.747
0.027717874576780963,32.0,0.746,0.746
0.03464734322097621,32.0,0.747,0.745
0.04157681186517145,32.0,0.746,0.745
0.04850628050936669,32.0,0.746,0.745
0.055435749153561927,32.0,0.747,0.745
0.062365217797757166,32.0,0.747,0.745
0.0,33.0,0.734,0.731
0.006929468644195241,33.0,0.7539999999999999,0.751
0.013858937288390482,33.0,0.7509999999999999,0.747
0.020788405932585723,33.0,0.7489999999999999,0.749
0.027717874576780963,33.0,0.747,0.746
0.03464734322097621,33.0,0.746,0.746
0.04157681186517145,33.0,0.746,0.746
0.04850628050936669,33.0,0.746,0.746
0.055435749153561927,33.0,0.746,0.746
0.062365217797757166,33.0,0.746,0.746
0.0,34.0,0.7299999999999999,0.728
0.006929468644195241,34.0,0.7569999999999999,0.751
0.013858937288390482,34.0,0.7499999999999999,0.748
0.020788405932585723,34.0,0.748,0.749
0.027717874576780963,34.0,0.747,0.746
0.03464734322097621,34.0,0.746,0.746
0.04157681186517145,34.0,0.746,0.746
0.04850628050936669,34.0,0.746,0.746
0.055435749153561927,34.0,0.746,0.746
0.062365217797757166,34.0,0.746,0.746
0.0,35.0,0.733,0.719
0.006929468644195241,35.0,0.7549999999999999,0.748
0.013858937288390482,35.0,0.7499999999999999,0.747
0.020788405932585723,35.0,0.748,0.747
0.027717874576780963,35.0,0.746,0.747
0.03464734322097621,35.0,0.746,0.745
0.04157681186517145,35.0,0.746,0.745
0.04850628050936669,35.0,0.7449999999999999,0.745
0.055435749153561927,35.0,0.7449999999999999,0.745
0.062365217797757166,35.0,0.7449999999999999,0.745
0.0,36.0,0.728,0.725
0.006929468644195241,36.0,0.7559999999999999,0.748
0.013858937288390482,36.0,0.752,0.747
0.020788405932585723,36.0,0.748,0.747
0.027717874576780963,36.0,0.746,0.746
0.03464734322097621,36.0,0.746,0.745
0.04157681186517145,36.0,0.7449999999999999,0.745
0.04850628050936669,36.0,0.7449999999999999,0.745
0.055435749153561927,36.0,0.7449999999999999,0.745
0.062365217797757166,36.0,0.7449999999999999,0.745
0.0,37.0,0.7310000000000001,0.724
0.006929468644195241,37.0,0.7579999999999998,0.746
0.013858937288390482,37.0,0.752,0.747
0.020788405932585723,37.0,0.747,0.747
0.027717874576780963,37.0,0.747,0.746
0.03464734322097621,37.0,0.7449999999999999,0.745
0.04157681186517145,37.0,0.7449999999999999,0.745
0.04850628050936669,37.0,0.746,0.745
0.055435749153561927,37.0,0.746,0.745
0.062365217797757166,37.0,0.746,0.745
0.0,38.0,0.727,0.723
0.006929468644195241,38.0,0.7589999999999998,0.749
0.013858937288390482,38.0,0.752,0.745
0.020788405932585723,38.0,0.748,0.747
0.027717874576780963,38.0,0.746,0.746
0.03464734322097621,38.0,0.746,0.745
0.04157681186517145,38.0,0.7449999999999999,0.745
0.04850628050936669,38.0,0.7449999999999999,0.745
0.055435749153561927,38.0,0.7449999999999999,0.745
0.062365217797757166,38.0,0.7449999999999999,0.745
0.0,39.0,0.729,0.721
0.006929468644195241,39.0,0.7549999999999999,0.748
0.013858937288390482,39.0,0.752,0.745
0.020788405932585723,39.0,0.747,0.746
0.027717874576780963,39.0,0.746,0.746
0.03464734322097621,39.0,0.7449999999999999,0.745
0.04157681186517145,39.0,0.7449999999999999,0.745
0.04850628050936669,39.0,0.746,0.745
0.055435749153561927,39.0,0.746,0.745
0.062365217797757166,39.0,0.746,0.745
0.0,40.0,0.73,0.723
0.006929468644195241,40.0,0.7569999999999999,0.747
0.013858937288390482,40.0,0.7509999999999999,0.746
0.020788405932585723,40.0,0.748,0.745
0.027717874576780963,40.0,0.746,0.745
0.03464734322097621,40.0,0.746,0.745
0.04157681186517145,40.0,0.7449999999999999,0.745
0.04850628050936669,40.0,0.7449999999999999,0.745
0.055435749153561927,40.0,0.7449999999999999,0.745
0.062365217797757166,40.0,0.7449999999999999,0.745
0.0,41.0,0.7280000000000001,0.72
0.006929468644195241,41.0,0.7579999999999998,0.75
0.013858937288390482,41.0,0.7499999999999999,0.745
0.020788405932585723,41.0,0.7489999999999999,0.746
0.027717874576780963,41.0,0.746,0.745
0.03464734322097621,41.0,0.746,0.745
0.04157681186517145,41.0,0.746,0.745
0.04850628050936669,41.0,0.7449999999999999,0.745
0.055435749153561927,41.0,0.7449999999999999,0.745
0.062365217797757166,41.0,0.7449999999999999,0.745
0.0,42.0,0.7300000000000001,0.723
0.006929468644195241,42.0,0.7589999999999999,0.753
0.013858937288390482,42.0,0.7499999999999999,0.745
0.020788405932585723,42.0,0.747,0.746
0.027717874576780963,42.0,0.746,0.745
0.03464734322097621,42.0,0.746,0.745
0.04157681186517145,42.0,0.746,0.745
0.04850628050936669,42.0,0.746,0.745
0.055435749153561927,42.0,0.746,0.745
0.062365217797757166,42.0,0.746,0.745
0.0,43.0,0.7310000000000001,0.725
0.006929468644195241,43.0,0.756,0.752
0.013858937288390482,43.0,0.7499999999999999,0.746
0.020788405932585723,43.0,0.748,0.746
0.027717874576780963,43.0,0.747,0.745
0.03464734322097621,43.0,0.746,0.745
0.04157681186517145,43.0,0.746,0.745
0.04850628050936669,43.0,0.746,0.745
0.055435749153561927,43.0,0.746,0.745
0.062365217797757166,43.0,0.746,0.745
0.0,44.0,0.7300000000000001,0.731
0.006929468644195241,44.0,0.7599999999999999,0.751
0.013858937288390482,44.0,0.7499999999999999,0.746
0.020788405932585723,44.0,0.7489999999999999,0.747
0.027717874576780963,44.0,0.746,0.745
0.03464734322097621,44.0,0.746,0.745
0.04157681186517145,44.0,0.746,0.745
0.04850628050936669,44.0,0.746,0.745
0.055435749153561927,44.0,0.746,0.745
0.062365217797757166,44.0,0.746,0.745
0.0,45.0,0.729,0.73
0.006929468644195241,45.0,0.7579999999999999,0.753
0.013858937288390482,45.0,0.7499999999999999,0.745
0.020788405932585723,45.0,0.7489999999999999,0.747
0.027717874576780963,45.0,0.746,0.745
0.03464734322097621,45.0,0.746,0.745
0.04157681186517145,45.0,0.746,0.745
0.04850628050936669,45.0,0.746,0.745
0.055435749153561927,45.0,0.746,0.745
0.062365217797757166,45.0,0.746,0.745
0.0,46.0,0.7270000000000001,0.73
0.006929468644195241,46.0,0.7569999999999999,0.754
0.013858937288390482,46.0,0.7519999999999999,0.747
0.020788405932585723,46.0,0.747,0.746
0.027717874576780963,46.0,0.746,0.745
0.03464734322097621,46.0,0.746,0.745
0.04157681186517145,46.0,0.746,0.745
0.04850628050936669,46.0,0.746,0.745
0.055435749153561927,46.0,0.746,0.745
0.062365217797757166,46.0,0.746,0.745
0.0,47.0,0.734,0.732
0.006929468644195241,47.0,0.756,0.754
0.013858937288390482,47.0,0.7509999999999999,0.749
0.020788405932585723,47.0,0.747,0.748
0.027717874576780963,47.0,0.746,0.744
0.03464734322097621,47.0,0.746,0.745
0.04157681186517145,47.0,0.746,0.745
0.04850628050936669,47.0,0.746,0.745
0.055435749153561927,47.0,0.746,0.745
0.062365217797757166,47.0,0.746,0.745
0.0,48.0,0.732,0.731
0.006929468644195241,48.0,0.7569999999999999,0.755
0.013858937288390482,48.0,0.7529999999999999,0.748
0.020788405932585723,48.0,0.748,0.748
0.027717874576780963,48.0,0.747,0.743
0.03464734322097621,48.0,0.746,0.745
0.04157681186517145,48.0,0.746,0.745
0.04850628050936669,48.0,0.746,0.745
0.055435749153561927,48.0,0.746,0.745
0.062365217797757166,48.0,0.746,0.745
0.0,49.0,0.732,0.731
0.006929468644195241,49.0,0.7549999999999999,0.755
0.013858937288390482,49.0,0.754,0.749
0.020788405932585723,49.0,0.7489999999999999,0.747
0.027717874576780963,49.0,0.747,0.744
0.03464734322097621,49.0,0.7449999999999999,0.745
0.04157681186517145,49.0,0.746,0.745
0.04850628050936669,49.0,0.746,0.745
0.055435749153561927,49.0,0.746,0.745
0.062365217797757166,49.0,0.746,0.745
0.0,50.0,0.732,0.731
0.006929468644195241,50.0,0.7579999999999999,0.756
0.013858937288390482,50.0,0.754,0.748
0.020788405932585723,50.0,0.748,0.747
0.027717874576780963,50.0,0.746,0.745
0.03464734322097621,50.0,0.746,0.745
0.04157681186517145,50.0,0.746,0.745
0.04850628050936669,50.0,0.746,0.745
0.055435749153561927,50.0,0.746,0.745
0.062365217797757166,50.0,0.746,0.745
0.0,51.0,0.7340000000000001,0.727
0.006929468644195241,51.0,0.7579999999999999,0.754
0.013858937288390482,51.0,0.7550000000000001,0.749
0.020788405932585723,51.0,0.7489999999999999,0.748
0.027717874576780963,51.0,0.747,0.744
0.03464734322097621,51.0,0.7449999999999999,0.745
0.04157681186517145,51.0,0.746,0.745
0.04850628050936669,51.0,0.746,0.745
0.055435749153561927,51.0,0.746,0.745
0.062365217797757166,51.0,0.746,0.745
0.0,52.0,0.732,0.724
0.006929468644195241,52.0,0.7579999999999999,0.756
0.013858937288390482,52.0,0.7529999999999999,0.748
0.020788405932585723,52.0,0.7489999999999999,0.747
0.027717874576780963,52.0,0.746,0.745
0.03464734322097621,52.0,0.7449999999999999,0.745
0.04157681186517145,52.0,0.746,0.745
0.04850628050936669,52.0,0.7449999999999999,0.745
0.055435749153561927,52.0,0.7449999999999999,0.745
0.062365217797757166,52.0,0.7449999999999999,0.745
0.0,53.0,0.7340000000000001,0.724
0.006929468644195241,53.0,0.7569999999999999,0.756
0.013858937288390482,53.0,0.7529999999999999,0.747
0.020788405932585723,53.0,0.752,0.746
0.027717874576780963,53.0,0.747,0.745
0.03464734322097621,53.0,0.7449999999999999,0.745
0.04157681186517145,53.0,0.746,0.745
0.04850628050936669,53.0,0.746,0.745
0.055435749153561927,53.0,0.746,0.745
0.062365217797757166,53.0,0.746,0.745
0.0,54.0,0.7340000000000001,0.725
0.006929468644195241,54.0,0.7609999999999999,0.753
0.013858937288390482,54.0,0.751,0.748
0.020788405932585723,54.0,0.751,0.747
0.027717874576780963,54.0,0.746,0.745
0.03464734322097621,54.0,0.7449999999999999,0.745
0.04157681186517145,54.0,0.746,0.745
0.04850628050936669,54.0,0.7449999999999999,0.745
0.055435749153561927,54.0,0.7449999999999999,0.745
0.062365217797757166,54.0,0.7449999999999999,0.745
0.0,55.0,0.7330000000000001,0.726
0.006929468644195241,55.0,0.7609999999999999,0.754
0.013858937288390482,55.0,0.7529999999999999,0.75
0.020788405932585723,55.0,0.75,0.746
0.027717874576780963,55.0,0.747,0.745
0.03464734322097621,55.0,0.7449999999999999,0.745
0.04157681186517145,55.0,0.746,0.745
0.04850628050936669,55.0,0.747,0.745
0.055435749153561927,55.0,0.747,0.745
0.062365217797757166,55.0,0.747,0.745
0.0,56.0,0.7350000000000001,0.724
0.006929468644195241,56.0,0.7599999999999999,0.753
0.013858937288390482,56.0,0.752,0.75
0.020788405932585723,56.0,0.752,0.746
0.027717874576780963,56.0,0.747,0.745
0.03464734322097621,56.0,0.746,0.745
0.04157681186517145,56.0,0.746,0.745
0.04850628050936669,56.0,0.746,0.745
0.055435749153561927,56.0,0.746,0.745
0.062365217797757166,56.0,0.746,0.745
0.0,57.0,0.7360000000000001,0.726
0.006929468644195241,57.0,0.762,0.754
0.013858937288390482,57.0,0.751,0.752
0.020788405932585723,57.0,0.752,0.746
0.027717874576780963,57.0,0.747,0.745
0.03464734322097621,57.0,0.746,0.745
0.04157681186517145,57.0,0.746,0.745
0.04850628050936669,57.0,0.746,0.745
0.055435749153561927,57.0,0.746,0.745
0.062365217797757166,57.0,0.746,0.745
0.0,58.0,0.7350000000000001,0.72
0.006929468644195241,58.0,0.763,0.754
0.013858937288390482,58.0,0.7529999999999999,0.75
0.020788405932585723,58.0,0.7529999999999999,0.746
0.027717874576780963,58.0,0.747,0.745
0.03464734322097621,58.0,0.7449999999999999,0.745
0.04157681186517145,58.0,0.746,0.745
0.04850628050936669,58.0,0.7449999999999999,0.745
0.055435749153561927,58.0,0.7449999999999999,0.745
0.062365217797757166,58.0,0.7449999999999999,0.745
0.0,59.0,0.7370000000000001,0.724
0.006929468644195241,59.0,0.7609999999999999,0.753
0.013858937288390482,59.0,0.7529999999999999,0.75
0.020788405932585723,59.0,0.7529999999999999,0.746
0.027717874576780963,59.0,0.746,0.745
0.03464734322097621,59.0,0.746,0.745
0.04157681186517145,59.0,0.746,0.745
0.04850628050936669,59.0,0.747,0.745
0.055435749153561927,59.0,0.747,0.745
0.062365217797757166,59.0,0.747,0.745
0.0,60.0,0.736,0.724
0.006929468644195241,60.0,0.7609999999999999,0.755
0.013858937288390482,60.0,0.7529999999999999,0.748
0.020788405932585723,60.0,0.7519999999999999,0.746
0.027717874576780963,60.0,0.746,0.745
0.03464734322097621,60.0,0.7449999999999999,0.745
0.04157681186517145,60.0,0.746,0.745
0.04850628050936669,60.0,0.7449999999999999,0.745
0.055435749153561927,60.0,0.7449999999999999,0.745
0.062365217797757166,60.0,0.7449999999999999,0.745
0.0,61.0,0.7390000000000001,0.719
0.006929468644195241,61.0,0.7609999999999999,0.755
0.013858937288390482,61.0,0.754,0.749
0.020788405932585723,61.0,0.752,0.746
0.027717874576780963,61.0,0.746,0.745
0.03464734322097621,61.0,0.7449999999999999,0.745
0.04157681186517145,61.0,0.7449999999999999,0.745
0.04850628050936669,61.0,0.746,0.745
0.055435749153561927,61.0,0.746,0.745
0.062365217797757166,61.0,0.746,0.745
0.0,62.0,0.7390000000000001,0.724
0.006929468644195241,62.0,0.7599999999999999,0.755
0.013858937288390482,62.0,0.7529999999999999,0.749
0.020788405932585723,62.0,0.7519999999999999,0.745
0.027717874576780963,62.0,0.747,0.745
0.03464734322097621,62.0,0.7449999999999999,0.745
0.04157681186517145,62.0,0.746,0.745
0.04850628050936669,62.0,0.7449999999999999,0.745
0.055435749153561927,62.0,0.7449999999999999,0.745
0.062365217797757166,62.0,0.7449999999999999,0.745
0.0,63.0,0.7380000000000001,0.725
0.006929468644195241,63.0,0.7599999999999999,0.755
0.013858937288390482,63.0,0.7529999999999999,0.749
0.020788405932585723,63.0,0.7509999999999999,0.745
0.027717874576780963,63.0,0.746,0.745
0.03464734322097621,63.0,0.7449999999999999,0.745
0.04157681186517145,63.0,0.746,0.745
0.04850628050936669,63.0,0.7449999999999999,0.745
0.055435749153561927,63.0,0.7449999999999999,0.745
0.062365217797757166,63.0,0.7449999999999999,0.745
0.0,64.0,0.74,0.725
0.006929468644195241,64.0,0.7579999999999999,0.755
0.013858937288390482,64.0,0.754,0.749
0.020788405932585723,64.0,0.7509999999999999,0.746
0.027717874576780963,64.0,0.746,0.745
0.03464734322097621,64.0,0.7449999999999999,0.745
0.04157681186517145,64.0,0.7439999999999999,0.745
0.04850628050936669,64.0,0.7449999999999999,0.745
0.055435749153561927,64.0,0.7449999999999999,0.745
0.062365217797757166,64.0,0.7449999999999999,0.745
0.0,65.0,0.737,0.727
0.006929468644195241,65.0,0.7579999999999999,0.754
0.013858937288390482,65.0,0.7529999999999999,0.749
0.020788405932585723,65.0,0.7489999999999999,0.746
0.027717874576780963,65.0,0.746,0.745
0.03464734322097621,65.0,0.7449999999999999,0.745
0.04157681186517145,65.0,0.7439999999999999,0.744
0.04850628050936669,65.0,0.7429999999999999,0.744
0.055435749153561927,65.0,0.7429999999999999,0.744
0.062365217797757166,65.0,0.7429999999999999,0.744
0.0,66.0,0.736,0.728
0.006929468644195241,66.0,0.7589999999999999,0.755
0.013858937288390482,66.0,0.754,0.749
0.020788405932585723,66.0,0.7499999999999999,0.746
0.027717874576780963,66.0,0.746,0.745
0.03464734322097621,66.0,0.7449999999999999,0.745
0.04157681186517145,66.0,0.7439999999999999,0.745
0.04850628050936669,66.0,0.7449999999999999,0.745
0.055435749153561927,66.0,0.7449999999999999,0.745
0.062365217797757166,66.0,0.7449999999999999,0.745
0.0,67.0,0.7360000000000001,0.729
0.006929468644195241,67.0,0.7579999999999999,0.754
0.013858937288390482,67.0,0.754,0.748
0.020788405932585723,67.0,0.751,0.746
0.027717874576780963,67.0,0.7449999999999999,0.745
0.03464734322097621,67.0,0.7449999999999999,0.745
0.04157681186517145,67.0,0.746,0.745
0.04850628050936669,67.0,0.7449999999999999,0.745
0.055435749153561927,67.0,0.7449999999999999,0.745
0.062365217797757166,67.0,0.7449999999999999,0.745
0.0,68.0,0.7340000000000002,0.726
0.006929468644195241,68.0,0.7569999999999999,0.753
0.013858937288390482,68.0,0.754,0.748
0.020788405932585723,68.0,0.748,0.747
0.027717874576780963,68.0,0.746,0.745
0.03464734322097621,68.0,0.7449999999999999,0.745
0.04157681186517145,68.0,0.7439999999999999,0.745
0.04850628050936669,68.0,0.7429999999999999,0.745
0.055435749153561927,68.0,0.7429999999999999,0.745
0.062365217797757166,68.0,0.7429999999999999,0.745
0.0,69.0,0.7360000000000001,0.727
0.006929468644195241,69.0,0.7569999999999999,0.753
0.013858937288390482,69.0,0.7529999999999999,0.748
0.020788405932585723,69.0,0.748,0.747
0.027717874576780963,69.0,0.7449999999999999,0.745
0.03464734322097621,69.0,0.7449999999999999,0.745
0.04157681186517145,69.0,0.7429999999999999,0.745
0.04850628050936669,69.0,0.7429999999999999,0.745
0.055435749153561927,69.0,0.7429999999999999,0.745
0.062365217797757166,69.0,0.7429999999999999,0.745
